,btc_open,btc_close,btc_high,btc_low,btc_volume,btc_amount,eth_open,eth_close,eth_high,eth_low,eth_volume,eth_amount,xrp_open,xrp_close,xrp_high,xrp_low,xrp_volume,xrp_amount,Open,High,Low,Close,Adj Close,Volume,usdcny
2019-12-02,7294.6,7291.9,7397.5,7240.6,644.22637128,4709573.203608095,148.65,147.21,149.88,145.91,9993.3413213,1479315.2395663995,0.21917,0.21935,0.2217,0.21783,1417616.47690038,311577.74056719686,3143.85009765625,3144.31005859375,3110.780029296875,3113.8701171875,3113.8701171875,3268740000,7.042093803864646
2019-12-03,7291.9,7197.2,7765.3,7087.0,1144.99550793,8360091.716814443,147.24,145.5,151.64,143.33,16420.21098231,2405849.4387608375,0.2194,0.21405,0.22445,0.20981,3228059.11684057,698717.1401884928,3087.409912109375,3094.969970703125,3070.330078125,3093.199951171875,3093.199951171875,3653390000,7.058079667600036
2019-12-04,7199.4,7387.9,7475.0,7153.4,956.18609239,7006001.629707526,145.51,148.09,148.84,143.86,12512.322474,1833829.8297572662,0.214,0.22098,0.226,0.21216,2662785.34783143,579653.0925773599,3103.5,3119.3798828125,3102.530029296875,3112.760009765625,3112.760009765625,3695030000,7.052522335529283
2019-12-05,7387.4,7529.4,7574.6,7303.7,690.07667443,5109994.483592711,148.13,148.53,149.33,146.0,9332.17760888,1376620.9218664777,0.221,0.2255,0.22649,0.2191,1845456.29625373,410420.8031081658,3119.2099609375,3119.449951171875,3103.760009765625,3117.429931640625,3117.429931640625,3355750000,7.0420948260320895
2019-12-06,7529.2,7488.2,7610.0,7472.4,463.9770731,3489534.112250986,148.51,147.19,150.36,146.91,7711.21180772,1141653.8128691553,0.22548,0.22715,0.22785,0.2232,1125202.12329464,254179.7839615399,3134.6201171875,3150.60009765625,3134.6201171875,3145.909912109375,3145.909912109375,3479480000,7.030196502614026
2019-12-09,7342.4,7226.4,7397.0,7166.0,587.15500764,4280046.76765612,147.47,145.57,148.4,144.0,7395.73616138,1082564.4937682413,0.22437,0.22251,0.22537,0.2191,1425317.50962115,316328.7345784876,3141.860107421875,3148.8701171875,3135.4599609375,3135.9599609375,3135.9599609375,3345990000,7.039277652370203
2019-12-10,7226.5,7214.6,7270.7,7141.3,455.24307018,3282388.617630069,145.58,143.43,146.37,142.21,7233.31564344,1044436.9639208897,0.22254,0.22096,0.22358,0.21985,982430.02769373,217480.18606732576,3135.360107421875,3142.1201171875,3126.090087890625,3132.52001953125,3132.52001953125,3343790000,7.0387288977159885
2019-12-11,7213.8,7199.7,7284.7,7093.4,581.49898513,4175044.294227909,143.43,144.9,145.8,139.37,8468.81767278,1212634.8626901673,0.22097,0.21855,0.22293,0.21696,1227607.98444168,269795.8957353053,3135.75,3143.97998046875,3133.2099609375,3141.6298828125,3141.6298828125,3252540000,7.039277652370203
2019-12-12,7199.7,7258.4,7293.6,7196.3,405.43924704,2934430.362928757,144.91,144.82,145.25,143.08,5983.3624198,864313.7851388908,0.21856,0.22067,0.22069,0.21555,1763594.71944948,385196.94443767954,3141.22998046875,3176.280029296875,3138.469970703125,3168.570068359375,3168.570068359375,3990690000,7.037263176798061
2019-12-13,7258.5,7066.1,7266.6,7016.7,510.29282764,3635003.980156026,144.82,141.77,145.04,141.21,6029.01273307,861033.5386646007,0.22066,0.21611,0.22073,0.2148,1041017.76346544,226274.4223055239,3166.64990234375,3182.679931640625,3156.510009765625,3168.800048828125,3168.800048828125,3736870000,6.971541077501342
